machine_id,shift,machine_age_years,maintenance_overdue_days,load_pct,rpm,temperature_c,vibration_mm_s,pressure_bar,sound_db,humidity_pct,failure_within_7_days
MCH-029,day,5.31,18.8,79.4,1920.0,49.3,7.1,7.69,75.1,49.2,0
MCH-005,day,8.32,21.4,59.1,1671.0,74.3,0.2,3.81,77.4,48.6,0
MCH-004,day,10.91,13.9,62.8,1985.0,78.7,0.97,6.42,87.6,38.9,0
MCH-025,day,11.21,28.0,99.2,1563.0,68.9,4.35,6.66,87.5,49.9,0
MCH-027,night,1.44,0.0,50.9,1249.0,65.9,4.76,8.92,84.9,55.4,0
MCH-013,day,7.07,3.0,84.8,1665.0,73.5,5.52,5.56,84.1,49.2,0
MCH-025,night,3.07,19.0,86.8,1583.0,68.5,8.3,7.53,74.5,87.8,0
MCH-016,night,11.03,45.2,58.9,1384.0,58.1,3.32,5.43,90.7,45.9,0
MCH-005,night,11.84,23.1,100.1,1716.0,62.2,2.58,7.64,67.4,87.3,0
MCH-015,day,7.33,11.0,77.1,1426.0,70.8,4.7,3.81,70.8,56.3,0
MCH-006,night,6.64,22.8,74.9,1897.0,74.0,3.04,8.76,72.1,47.6,0
MCH-004,day,8.22,4.0,49.0,1808.0,71.3,2.85,9.02,78.9,76.9,0
MCH-022,night,1.52,24.2,92.1,720.0,61.4,5.27,8.58,79.6,58.8,0
MCH-015,day,10.9,37.1,75.0,842.0,63.1,6.6,8.28,80.6,57.8,0
MCH-028,day,1.03,0.0,90.1,1555.0,54.3,5.07,4.32,96.7,40.4,0
MCH-004,day,4.48,5.8,71.1,1717.0,58.1,5.11,6.31,71.7,56.3,0
MCH-026,night,1.98,0.0,54.6,1438.0,59.0,4.42,9.57,75.0,41.0,0
MCH-020,day,4.76,6.4,107.6,1363.0,61.7,0.25,8.11,70.1,58.5,0
MCH-015,day,10.47,0.5,47.1,1532.0,63.1,4.67,5.32,65.5,61.3,0
MCH-010,night,6.23,0.0,73.2,1209.0,83.2,5.17,5.65,76.5,44.0,0
MCH-026,night,3.31,0.0,71.7,1277.0,55.4,6.34,6.95,79.4,72.5,0
MCH-006,night,11.19,24.8,102.6,1903.0,77.3,2.83,6.27,70.0,62.5,0
MCH-017,day,8.63,14.8,74.1,1664.0,68.1,5.79,4.81,72.0,23.8,0
MCH-002,day,9.81,47.8,84.5,1134.0,73.3,6.79,3.79,71.6,67.2,0
MCH-030,night,5.2,10.4,53.4,1501.0,71.5,5.16,7.91,82.1,65.6,0
MCH-014,day,4.63,7.8,67.9,1715.0,65.5,6.54,6.12,60.2,74.8,0
MCH-015,day,4.59,28.3,36.9,809.0,82.3,6.39,5.85,70.9,66.2,0
MCH-030,night,9.57,33.8,65.1,1212.0,76.3,2.66,7.09,74.2,65.7,0
MCH-001,day,6.67,6.3,39.1,1465.0,93.1,2.37,10.87,89.3,50.4,0
MCH-004,day,3.4,16.0,56.1,1306.0,69.7,5.7,5.84,59.4,60.9,0
MCH-025,day,8.85,4.9,75.1,1281.0,81.0,3.07,6.36,81.4,51.8,0
MCH-019,day,5.09,1.5,69.6,1330.0,57.9,1.22,8.07,78.6,37.4,0
MCH-002,night,7.25,25.1,49.1,1741.0,61.0,2.57,6.06,78.6,34.2,0
MCH-020,day,1.48,24.4,72.0,1494.0,61.2,4.47,5.98,83.4,56.2,0
MCH-029,night,4.84,22.5,89.5,1741.0,58.0,8.57,9.53,73.5,15.0,0
MCH-008,night,11.38,21.6,50.9,1232.0,56.9,7.35,8.22,88.2,69.5,0
MCH-029,day,4.4,32.4,74.6,1931.0,72.4,6.45,7.55,75.8,41.1,0
MCH-010,day,2.89,14.1,47.0,1944.0,55.6,2.73,8.71,64.0,70.1,0
MCH-006,night,4.67,12.5,79.1,1497.0,58.2,4.16,7.43,77.5,36.5,0
MCH-002,night,3.47,19.3,74.6,1398.0,68.2,4.83,6.3,71.8,61.1,0
MCH-006,day,5.16,45.2,71.7,1198.0,58.9,2.57,8.1,77.2,94.8,0
MCH-021,day,6.47,21.9,66.8,1506.0,53.7,5.25,5.02,71.6,79.5,0
MCH-007,night,11.42,25.8,70.2,1436.0,56.8,4.74,4.76,80.3,53.5,0
MCH-002,day,1.36,2.3,71.5,1946.0,61.7,7.46,7.92,73.5,68.1,0
MCH-030,day,1.69,32.8,63.1,1511.0,87.5,5.44,8.67,84.4,72.9,0
MCH-018,day,3.04,18.2,84.3,1487.0,72.5,3.82,8.47,77.4,50.6,0
MCH-010,night,7.98,31.5,41.8,1735.0,67.5,0.2,8.69,89.6,27.5,0
MCH-022,day,7.7,38.8,76.0,1699.0,68.8,6.12,6.33,89.3,94.8,0
MCH-024,day,5.08,14.0,62.0,1937.0,69.7,4.18,6.82,84.3,50.8,0
MCH-016,day,11.86,42.2,43.0,1112.0,57.3,5.43,6.78,71.4,95.0,0
MCH-025,night,1.25,35.1,67.0,1623.0,63.0,3.45,6.86,82.1,77.1,0
MCH-020,night,2.5,0.0,93.3,1290.0,59.7,5.05,6.28,83.1,61.2,0
MCH-009,night,10.39,0.0,58.8,1399.0,50.4,4.08,6.76,79.0,61.7,0
MCH-006,day,8.82,5.2,59.4,1448.0,74.9,2.29,2.47,71.0,77.3,0
MCH-024,night,6.75,24.1,81.6,1758.0,68.6,3.05,6.38,74.3,42.8,0
MCH-028,day,10.63,8.6,69.5,1491.0,80.1,2.73,7.48,74.9,58.5,0
MCH-007,day,1.47,27.8,43.6,1371.0,59.2,3.5,6.13,77.6,52.7,0
MCH-015,night,1.68,34.6,74.6,1564.0,66.1,3.47,6.53,79.4,29.0,0
MCH-026,day,10.3,48.3,60.9,973.0,81.8,6.25,6.41,77.1,38.4,0
MCH-029,night,3.04,35.5,75.7,1292.0,55.2,5.77,7.85,77.2,87.5,0
MCH-006,night,5.59,1.3,54.4,1714.0,76.6,4.84,6.63,82.0,85.5,0
MCH-028,day,10.49,0.0,82.6,1652.0,72.6,5.29,5.77,80.6,78.0,0
MCH-025,day,7.38,0.0,81.1,1034.0,71.2,5.0,5.71,85.1,30.5,0
MCH-017,day,1.33,17.4,65.2,771.0,52.2,5.57,8.02,81.4,42.5,0
MCH-017,day,7.07,17.8,66.3,1279.0,56.5,4.31,5.99,74.2,75.2,0
MCH-015,day,2.43,3.3,76.1,1226.0,86.1,4.84,7.51,83.5,48.7,0
MCH-027,day,8.1,50.3,89.6,1422.0,83.0,7.23,6.4,91.9,75.2,1
MCH-019,night,4.37,11.6,79.8,1289.0,67.8,8.06,9.25,81.5,58.6,0
MCH-010,day,3.04,0.0,66.4,1356.0,71.5,4.03,7.65,81.1,74.5,0
MCH-028,day,10.47,29.5,48.6,2010.0,66.9,7.41,4.88,73.4,70.8,0
MCH-012,day,5.86,10.7,81.3,1317.0,81.9,7.19,8.66,79.8,20.8,0
MCH-009,day,10.51,15.9,83.6,700.0,79.5,1.07,6.53,69.0,37.3,0
MCH-008,day,5.06,6.5,60.6,1408.0,78.0,3.14,4.46,70.9,64.8,0
MCH-012,night,2.42,0.0,84.7,1792.0,80.1,4.04,7.47,88.4,53.1,0
MCH-029,day,11.85,13.2,65.2,1492.0,63.2,3.08,6.3,91.7,70.4,0
MCH-027,day,11.45,0.0,85.7,1547.0,78.0,0.2,9.71,76.9,75.7,0
MCH-010,night,2.37,27.0,59.8,1322.0,62.1,4.01,6.97,83.3,49.7,0
MCH-027,night,8.43,25.6,55.9,1637.0,57.1,7.14,6.0,80.4,74.1,0
MCH-009,day,3.82,22.5,60.2,1702.0,66.6,3.54,7.98,75.4,73.2,0
MCH-021,day,4.71,0.0,95.9,1213.0,58.1,0.32,6.17,67.4,84.3,0
MCH-010,night,6.26,27.3,72.9,1475.0,56.2,3.93,4.88,86.2,23.0,0
MCH-011,day,2.75,32.7,68.2,1560.0,66.1,5.2,6.96,70.4,44.1,0
MCH-027,night,6.62,5.6,74.5,1249.0,83.6,2.29,7.08,80.6,64.3,0
MCH-017,day,3.45,4.6,71.7,1605.0,70.2,6.66,7.16,74.6,60.0,0
MCH-022,day,7.33,26.7,89.4,1320.0,57.2,4.52,7.35,65.1,64.0,0
MCH-004,day,8.18,4.3,75.6,1231.0,90.2,1.97,7.68,72.1,52.3,0
MCH-017,day,4.09,7.5,62.4,1079.0,75.5,3.22,7.21,74.5,46.9,0
MCH-010,day,8.75,31.8,80.5,1906.0,64.2,3.83,6.24,69.9,47.6,0
MCH-004,day,10.07,10.2,75.1,1073.0,76.2,7.24,8.13,76.0,33.4,0
MCH-003,night,5.85,0.0,73.4,1259.0,58.1,5.33,5.81,78.7,83.3,0
MCH-017,day,11.78,0.0,64.5,1239.0,75.9,3.03,7.36,84.5,47.0,0
MCH-012,night,8.65,33.0,60.2,1077.0,49.6,5.11,5.57,60.8,64.2,0
MCH-003,night,7.11,0.0,90.3,746.0,68.3,8.15,7.88,81.0,90.0,0
MCH-007,day,1.43,24.5,54.2,1351.0,57.6,6.56,7.07,79.4,54.4,0
MCH-022,day,7.47,10.3,86.0,1226.0,71.5,5.91,2.6,77.1,56.9,0
MCH-028,day,6.32,22.5,57.9,1410.0,55.9,5.28,8.99,87.8,54.6,0
MCH-002,day,9.17,0.0,85.2,1105.0,65.4,2.81,6.27,85.5,82.3,0
MCH-005,night,4.02,27.4,79.5,2091.0,57.6,3.82,6.83,85.9,49.9,0
MCH-028,day,2.53,24.3,70.5,1291.0,64.1,6.66,6.5,92.0,70.7,0
MCH-013,day,3.27,0.1,71.8,1612.0,69.2,2.45,8.56,76.7,57.6,0
MCH-004,night,3.3,34.4,80.0,1733.0,71.2,5.09,6.85,81.7,60.7,0
MCH-028,night,9.99,15.5,35.5,1423.0,52.9,3.7,6.84,85.8,57.5,0
MCH-008,day,1.48,12.5,74.8,1073.0,58.3,6.36,6.15,69.6,66.6,0
MCH-010,day,1.44,28.8,81.1,1817.0,55.5,3.3,7.37,70.6,68.3,0
MCH-026,day,10.8,6.3,66.4,1167.0,67.3,5.7,6.96,96.9,64.7,0
MCH-009,day,5.47,4.4,102.8,1141.0,65.8,3.7,7.4,84.5,71.8,0
MCH-023,night,3.47,49.9,82.3,1554.0,84.0,6.22,5.96,80.4,30.5,0
MCH-021,night,9.9,22.7,72.5,1032.0,72.9,5.5,9.99,86.6,27.6,0
MCH-019,day,1.58,33.0,75.1,1116.0,65.7,6.59,7.32,82.3,63.5,0
MCH-010,night,4.08,8.7,83.4,1613.0,83.4,5.9,7.89,60.3,77.2,0
MCH-026,day,9.08,0.0,55.4,1323.0,59.8,2.73,4.28,82.7,63.4,0
MCH-021,day,2.55,39.9,65.8,1119.0,77.8,3.74,9.33,78.6,54.5,0
MCH-020,day,7.44,33.4,80.9,1668.0,62.5,2.73,7.0,76.6,50.7,0
MCH-004,day,5.56,32.3,65.5,1202.0,59.6,3.96,7.62,67.1,61.0,0
MCH-017,night,6.21,26.2,57.8,1535.0,54.2,5.49,9.18,91.4,69.8,0
MCH-005,day,5.5,0.0,74.3,1543.0,63.1,4.46,6.64,70.0,57.1,0
MCH-021,day,1.16,3.4,58.6,1549.0,65.8,2.69,5.8,75.6,83.1,0
MCH-020,night,6.96,17.8,52.3,1143.0,66.3,4.4,8.02,70.9,41.0,0
MCH-016,night,1.1,0.0,64.1,1672.0,55.5,4.73,5.24,81.7,57.4,0
MCH-009,day,8.78,35.5,59.7,1404.0,72.7,7.65,8.32,59.7,61.8,0
MCH-002,day,5.77,0.0,71.1,1324.0,88.1,7.39,5.66,72.3,59.2,0
MCH-010,night,9.63,18.9,40.0,1440.0,69.3,6.12,8.03,84.5,42.4,0
MCH-014,day,5.69,31.2,70.8,1399.0,99.9,4.74,6.02,74.6,76.4,0
MCH-024,day,9.21,0.0,57.8,1135.0,56.6,5.16,7.06,85.7,90.3,0
MCH-002,day,10.36,14.0,79.3,1297.0,62.8,4.74,7.99,76.4,39.4,0
MCH-009,night,6.31,21.1,70.8,1577.0,57.4,4.97,6.76,85.9,77.0,1
MCH-025,night,2.91,22.4,70.9,1098.0,57.9,4.7,7.95,69.1,44.6,0
MCH-030,day,8.69,19.7,63.5,1335.0,61.4,0.55,7.99,88.1,33.7,0
MCH-005,night,10.2,10.7,76.5,1192.0,73.0,5.76,6.51,73.2,38.6,0
MCH-004,night,9.31,10.3,81.5,1761.0,72.1,3.77,7.87,93.2,55.9,0
MCH-006,day,4.89,14.4,56.8,1423.0,82.1,4.11,6.61,81.1,46.9,0
MCH-013,night,8.86,25.4,85.3,1303.0,74.6,3.5,7.44,72.8,43.4,0
MCH-030,day,7.02,30.4,63.7,1634.0,83.3,3.56,8.03,82.5,94.0,0
MCH-012,day,11.95,29.9,73.1,1775.0,58.7,4.63,8.27,82.0,61.0,0
MCH-013,night,1.45,16.9,85.1,1341.0,59.2,3.57,6.54,77.4,68.2,0
MCH-023,day,1.7,36.0,68.2,777.0,72.2,4.46,8.92,82.9,94.7,0
MCH-006,night,0.53,19.6,65.0,1395.0,71.0,0.2,5.01,96.4,49.9,0
MCH-020,day,6.44,0.0,67.4,1239.0,71.2,6.61,4.56,78.9,55.4,0
MCH-005,day,9.91,33.6,73.3,1328.0,68.7,3.67,7.15,84.1,56.6,0
MCH-019,day,10.94,1.1,83.6,1879.0,77.2,3.22,7.19,73.1,46.7,0
MCH-030,night,8.12,20.9,59.7,1708.0,69.1,1.19,5.83,73.8,82.1,0
MCH-019,day,0.62,37.9,82.6,1515.0,77.5,4.72,6.2,80.9,39.7,0
MCH-017,night,6.62,5.5,70.5,1674.0,66.0,3.17,7.8,88.7,55.7,0
MCH-011,day,8.24,8.3,57.8,1144.0,65.3,6.78,7.69,81.9,28.9,0
MCH-016,day,4.76,16.8,66.8,1841.0,98.9,5.01,5.66,76.8,64.9,0
MCH-003,day,1.32,23.0,46.7,1224.0,77.6,7.11,5.4,73.3,57.6,0
MCH-004,day,11.68,1.3,73.5,1418.0,66.4,3.93,7.96,65.1,43.6,0
MCH-010,night,1.84,0.3,70.6,1514.0,70.4,5.83,5.0,66.1,66.5,0
MCH-005,day,6.62,10.3,61.9,1329.0,78.2,5.18,8.1,78.2,36.8,0
MCH-011,day,4.49,29.2,55.9,1517.0,88.7,2.55,3.71,75.7,75.6,0
MCH-026,day,8.9,19.3,70.7,1597.0,70.7,4.66,5.67,64.5,76.3,0
MCH-022,night,1.94,17.3,62.0,1694.0,66.8,2.09,6.98,81.1,62.1,0
MCH-026,day,6.51,0.0,101.0,1658.0,69.9,6.65,5.92,77.1,73.3,0
MCH-015,day,11.49,0.5,69.0,1408.0,66.1,6.24,7.77,54.5,68.5,0
MCH-016,night,11.19,51.6,78.9,1754.0,72.9,6.39,5.87,89.6,60.3,1
MCH-015,day,9.16,0.0,82.5,1781.0,73.8,5.01,6.0,79.7,44.9,0
MCH-004,day,1.26,6.1,67.4,920.0,70.1,4.2,5.94,83.3,73.0,0
MCH-028,night,5.12,6.6,60.2,1318.0,79.5,4.7,5.08,80.1,81.7,0
MCH-017,night,10.47,37.5,69.2,2025.0,76.2,0.2,9.34,71.9,41.5,0
MCH-004,day,9.42,0.0,71.6,955.0,61.1,3.46,6.32,79.2,44.8,0
MCH-017,day,1.04,32.3,56.5,1210.0,79.3,3.71,5.99,83.8,50.2,0
MCH-015,night,5.36,8.0,81.0,1403.0,60.5,4.82,7.1,73.6,44.5,0
MCH-021,night,8.16,19.3,75.0,1277.0,64.8,5.31,8.57,76.9,50.8,0
MCH-009,day,1.78,27.0,91.1,1627.0,70.2,1.81,9.11,73.0,72.9,0
MCH-022,night,2.98,32.6,96.0,1242.0,63.8,6.49,8.05,86.6,36.1,1
MCH-022,day,1.48,6.6,73.7,1363.0,73.1,5.26,5.8,78.8,40.7,0
MCH-006,day,0.72,14.6,57.1,733.0,66.1,8.54,8.02,77.8,53.8,0
MCH-006,night,5.73,26.2,59.0,1249.0,60.4,4.44,5.02,67.2,53.8,0
MCH-021,day,9.0,27.4,53.6,1946.0,86.4,5.26,9.59,80.8,70.3,0
MCH-023,night,5.77,20.7,48.0,1218.0,67.0,1.24,6.77,91.3,58.3,0
MCH-015,day,9.43,27.9,59.0,1683.0,70.5,3.37,8.12,85.2,59.0,0
MCH-001,day,11.05,2.5,68.1,936.0,71.3,5.32,5.58,76.8,58.6,0
MCH-015,day,11.41,19.6,78.2,1084.0,69.9,8.32,4.98,77.5,76.0,0
MCH-017,night,9.62,28.3,65.6,1615.0,52.0,5.03,9.63,67.1,61.0,0
MCH-026,day,10.04,5.7,91.8,1216.0,83.8,6.09,6.59,72.2,74.8,0
MCH-017,day,7.0,0.0,71.9,1887.0,74.2,3.83,7.82,67.8,46.9,0
MCH-002,day,9.8,5.3,59.7,1697.0,65.8,4.19,7.8,54.8,90.0,0
MCH-030,night,11.44,21.6,44.0,1732.0,61.2,5.62,4.44,85.1,38.6,0
MCH-026,night,11.71,5.9,83.2,1146.0,75.1,7.23,6.31,62.5,85.0,0
MCH-013,day,10.78,10.9,93.2,1336.0,64.4,0.2,7.53,67.4,49.2,0
MCH-007,day,7.81,0.0,58.0,1419.0,78.3,3.02,8.58,78.5,79.0,0
MCH-020,day,0.93,17.3,77.2,1314.0,61.2,4.26,5.59,69.3,68.9,0
MCH-015,day,9.23,30.8,75.5,1290.0,75.3,3.09,6.51,67.0,50.6,0
MCH-008,night,1.4,41.5,99.0,1557.0,72.8,3.18,7.74,78.8,32.6,0
MCH-025,day,6.94,28.7,86.4,1112.0,66.2,3.71,7.29,76.4,56.9,0
MCH-021,night,8.56,1.3,78.9,1919.0,67.9,5.4,5.58,74.9,69.1,0
MCH-018,day,9.49,21.8,67.2,1751.0,71.6,4.44,5.83,93.1,58.2,0
MCH-021,day,8.76,46.9,68.4,1525.0,70.4,6.7,5.7,75.8,40.1,0
MCH-024,night,6.27,14.9,64.9,1458.0,69.0,3.01,6.35,68.2,51.0,0
MCH-005,night,5.15,15.9,64.0,972.0,56.8,6.42,6.8,73.6,60.6,0
MCH-022,night,1.84,28.1,81.9,1569.0,66.3,4.93,6.94,78.9,43.0,0
MCH-018,night,5.36,23.7,55.4,985.0,59.7,3.01,4.73,77.0,73.2,0
MCH-022,day,7.35,16.3,61.2,1338.0,86.7,4.41,5.86,89.0,73.3,0
MCH-009,night,7.52,0.0,55.2,1193.0,78.2,4.69,7.72,80.7,64.3,0
MCH-002,day,1.08,0.0,95.1,1469.0,75.2,5.56,8.9,71.3,69.2,0
MCH-027,day,1.57,49.6,76.7,1503.0,51.9,3.41,9.18,74.1,58.3,0
MCH-017,day,8.21,3.6,81.7,1747.0,73.1,4.07,6.69,76.0,69.2,0
MCH-001,night,1.43,12.4,79.5,1582.0,68.8,5.54,7.63,68.1,71.9,0
MCH-014,day,9.36,0.0,66.9,1283.0,78.7,3.44,8.77,80.6,72.3,0
MCH-018,night,11.27,37.1,64.8,953.0,61.1,4.21,8.03,77.9,62.0,0
MCH-014,day,5.2,40.3,73.3,1676.0,73.5,6.65,6.69,93.0,26.2,0
MCH-026,night,9.58,5.0,80.2,1379.0,66.7,4.79,7.11,60.2,54.3,0
MCH-019,night,4.51,39.7,73.6,1359.0,76.0,0.2,5.63,59.4,40.9,0
MCH-016,day,2.4,40.2,73.7,1938.0,65.2,4.96,5.99,75.7,59.7,0
MCH-028,day,2.42,5.8,58.5,1786.0,60.1,4.67,7.05,90.0,49.9,0
MCH-008,night,2.47,29.9,32.5,1451.0,71.3,5.86,5.68,78.7,43.2,0
MCH-029,day,11.78,2.7,72.5,1660.0,79.1,5.17,8.73,81.4,71.8,0
MCH-011,night,3.41,14.6,90.7,1487.0,71.6,4.81,4.29,76.5,54.2,0
MCH-019,night,5.15,13.1,71.8,1942.0,57.3,1.79,6.89,83.3,65.4,0
MCH-018,day,9.74,18.5,43.9,1624.0,61.6,2.06,6.19,76.5,48.3,0
MCH-020,day,4.52,15.3,81.8,1538.0,71.1,6.8,5.19,78.8,48.7,0
MCH-016,night,9.73,0.0,54.8,1466.0,78.7,6.95,6.06,82.2,60.4,0
MCH-029,day,3.47,0.0,101.8,1598.0,72.1,7.06,7.33,72.0,30.8,0
MCH-008,day,3.28,40.6,66.4,1056.0,68.2,5.82,5.82,90.2,66.2,0
MCH-017,day,8.46,19.5,71.2,1052.0,79.1,2.73,6.21,69.9,69.2,0
MCH-007,night,9.95,27.3,77.2,1442.0,74.7,5.46,6.17,81.6,55.0,0
MCH-022,day,10.61,23.2,48.5,1477.0,65.4,5.42,6.61,75.4,69.7,0
MCH-011,night,8.63,22.7,81.0,1742.0,67.9,3.86,4.71,83.1,60.8,0
MCH-011,day,9.51,0.0,81.6,1114.0,74.9,6.6,7.82,86.6,90.3,0
MCH-010,day,1.3,23.0,92.2,1674.0,59.6,4.94,9.15,93.0,53.0,0
MCH-002,day,6.57,27.4,85.3,1284.0,69.2,7.72,6.34,69.5,81.7,0
MCH-025,night,3.67,18.1,78.1,1164.0,55.9,4.87,6.48,92.6,73.2,0
MCH-014,day,8.38,0.0,41.2,1615.0,70.7,4.99,7.17,79.7,73.5,0
MCH-022,day,7.32,33.6,65.0,1408.0,67.3,3.39,7.25,71.9,39.9,0
MCH-013,night,8.36,36.2,64.4,1281.0,61.6,5.76,9.09,82.7,60.5,0
MCH-028,day,11.72,22.9,77.1,1536.0,61.3,3.88,6.14,72.4,30.3,0
MCH-010,day,5.54,23.0,72.3,1602.0,55.8,3.39,8.42,67.2,42.0,0
MCH-006,night,2.28,22.3,71.5,1212.0,73.7,0.99,6.53,80.4,60.9,0
MCH-014,day,0.54,19.7,70.5,1538.0,67.6,6.98,6.03,71.1,35.9,0
MCH-018,night,9.44,1.6,65.8,1676.0,80.2,4.45,5.46,74.0,85.2,0
MCH-012,day,10.14,32.3,66.5,973.0,58.8,7.01,6.64,76.1,53.2,0
MCH-026,night,5.13,42.4,58.8,1719.0,70.3,3.8,3.65,76.0,61.4,0
MCH-006,night,7.07,12.7,57.1,1301.0,80.0,4.41,5.9,81.2,65.5,0
MCH-009,day,6.48,3.3,109.9,1625.0,74.7,6.66,6.24,79.0,36.9,0
MCH-004,day,4.54,17.5,58.4,1188.0,61.3,4.73,6.76,60.1,24.1,0
MCH-002,night,6.4,24.9,77.4,1497.0,82.6,2.63,9.63,75.7,38.5,0
MCH-015,night,6.36,8.2,72.0,1466.0,62.9,6.36,6.72,65.6,53.2,0
MCH-008,night,8.5,4.6,53.2,1580.0,69.0,3.04,5.5,82.8,76.0,0
MCH-008,night,4.95,19.5,91.4,1249.0,75.5,3.85,6.92,78.7,62.0,0
MCH-017,night,2.71,21.2,85.1,1032.0,69.6,8.76,7.88,76.0,49.0,0
MCH-026,night,8.62,1.7,52.8,1420.0,60.0,2.72,5.37,74.3,39.5,0
MCH-014,day,11.0,22.5,52.3,1689.0,62.4,2.63,6.75,89.8,51.7,0
MCH-015,day,10.67,35.0,55.4,1219.0,61.9,3.25,5.63,87.8,53.9,0
MCH-001,day,8.34,9.4,83.6,1834.0,49.9,6.67,6.47,77.0,43.4,0
MCH-003,day,8.06,14.7,84.9,1581.0,73.1,4.52,5.81,69.8,56.4,0
MCH-001,night,7.59,7.8,66.5,1584.0,70.9,4.88,7.51,90.7,50.6,0
MCH-030,day,11.65,0.0,59.1,1334.0,86.9,5.2,5.26,81.9,33.2,0
MCH-017,day,10.8,10.9,64.7,1568.0,68.8,3.06,7.37,75.7,69.2,0
MCH-003,day,4.88,25.3,78.9,1228.0,45.6,4.94,6.76,80.7,89.3,0
MCH-020,day,8.02,10.3,49.0,1755.0,60.8,2.83,9.02,78.6,59.2,0
MCH-003,day,6.83,35.4,67.0,1569.0,80.0,1.73,6.08,75.7,45.5,0
MCH-014,day,2.99,5.1,79.0,959.0,63.6,3.23,9.41,79.3,53.4,0
MCH-015,night,11.52,23.3,68.2,1834.0,82.3,6.84,6.27,93.9,63.6,1
MCH-011,night,8.07,10.5,66.0,1376.0,68.0,7.04,4.96,74.7,30.4,0
MCH-010,day,4.24,16.6,78.3,1208.0,80.8,6.08,7.76,77.0,67.3,0
MCH-027,night,11.97,30.8,69.3,1068.0,50.3,3.08,6.74,85.6,71.6,0
MCH-025,day,2.47,40.4,64.9,1215.0,65.8,2.16,7.45,75.0,49.9,0
MCH-011,day,0.61,16.4,78.5,1638.0,57.0,2.74,5.74,89.3,56.1,0
MCH-026,day,8.66,25.1,68.0,1687.0,46.7,4.02,6.22,81.5,65.5,0
MCH-021,day,1.53,7.3,50.4,1690.0,58.7,2.0,8.09,81.0,70.9,0
MCH-015,day,6.59,21.8,54.2,1620.0,75.1,3.89,6.78,71.5,36.5,0
MCH-005,night,7.23,5.0,88.2,1288.0,55.1,1.98,6.04,75.1,62.9,0
MCH-020,night,10.0,32.7,79.8,1141.0,64.7,2.8,8.73,68.4,72.3,0
MCH-029,night,11.83,45.4,66.5,1869.0,89.1,2.48,7.01,94.8,56.1,0
MCH-011,day,1.99,21.3,59.3,983.0,69.6,2.64,2.79,82.4,40.3,0
MCH-010,night,1.68,27.6,85.5,1576.0,79.8,2.08,9.17,90.2,69.8,0
